date,open,close,low,high,volume
2020-03-13,78.0,81.0,75.95,81.4,53704860.0
2020-03-16,80.0,77.3,76.95,80.4,33813951.0
2020-03-17,74.3,74.85,74.3,76.7,51145832.0
2020-03-18,74.95,72.8,72.8,75.25,46790503.0
2020-03-19,71.0,68.55,67.25,71.0,68038340.0
2020-03-20,71.0,74.0,70.9,74.0,40910533.0
2020-03-23,71.0,70.8,69.55,72.1,22465117.0
2020-03-24,73.85,74.25,73.7,75.3,26956843.0
2020-03-25,76.8,76.85,76.1,77.45,32687820.0
2020-03-26,77.4,77.2,76.0,77.45,19215688.0
2020-03-27,78.3,76.6,76.45,78.7,21953901.0
2020-03-30,74.7,75.85,74.05,76.15,13605883.0
2020-03-31,76.8,76.15,75.6,77.2,9764000.0
2020-04-01,76.5,75.9,75.85,76.65,9948017.0
2020-04-06,76.95,77.05,75.75,77.1,12207626.0
2020-04-07,78.5,78.5,78.05,78.9,15302038.0
2020-04-08,78.5,79.6,78.35,79.7,15230698.0
2020-04-09,79.85,79.25,78.85,80.1,15650105.0
2020-04-10,79.0,79.3,78.7,79.35,5824779.0
2020-04-13,79.0,78.8,78.55,79.4,7430914.0
2020-04-14,79.05,80.95,79.05,80.95,13121792.0
2020-04-15,81.25,81.2,81.0,81.5,17361116.0
2020-04-16,80.2,80.8,80.05,81.1,12409525.0
2020-04-17,83.0,83.25,82.7,84.0,34532038.0
2020-04-18,83.25,83.0,82.8,83.5,12336416.0
2020-04-21,82.65,80.6,80.5,82.65,21082454.0
2020-04-22,80.0,80.6,79.5,80.6,10896151.0
2020-04-23,81.15,80.9,80.3,82.0,13298948.0
2020-04-24,80.8,80.9,80.45,81.0,5764752.0
2020-04-27,82.15,82.55,81.65,82.6,13917724.0
2020-04-28,82.9,82.55,82.0,82.9,7556661.0
2020-04-29,83.05,83.7,82.95,83.9,11874079.0
2020-04-30,84.45,85.5,84.4,85.5,18785156.0
2020-05-04,82.4,83.0,82.2,83.3,15648380.0
2020-05-05,83.5,83.4,83.0,83.8,7810636.0
2020-05-06,83.3,83.5,82.6,83.75,6142593.0
2020-05-07,83.5,83.85,83.3,84.15,6140995.0
2020-05-08,84.6,84.35,84.0,84.75,6034013.0
2020-05-11,85.0,85.05,84.7,85.4,6655422.0
2020-05-12,84.6,84.05,83.65,84.6,11549365.0
2020-05-13,83.7,84.3,83.6,84.4,4967165.0
2020-05-14,83.8,83.3,83.2,83.85,8743268.0
2020-05-15,84.05,83.85,83.05,84.25,6190781.0
2020-05-18,83.05,83.15,82.8,83.45,8271703.0
2020-05-19,84.4,83.9,83.65,84.5,5477775.0
2020-05-20,84.0,83.8,83.5,84.2,9894141.0
2020-05-21,84.15,84.5,84.1,84.8,7568047.0
2020-05-22,83.8,82.95,82.9,83.9,13354146.0
2020-05-25,83.15,83.5,82.15,83.5,5250544.0
2020-05-26,84.25,84.45,83.85,84.65,15454949.0
2020-05-27,84.7,84.35,84.05,84.85,4589767.0
2020-05-28,84.9,83.85,83.55,84.9,7476909.0
2020-05-29,83.4,84.45,83.0,84.45,5320690.0
2020-06-01,84.45,84.9,84.4,85.15,8365321.0
2020-06-02,85.0,85.3,85.0,85.5,11947060.0
2020-06-03,86.15,86.8,86.1,86.9,18117244.0
2020-06-04,87.5,87.6,87.15,87.75,15036553.0
2020-06-05,87.7,88.35,87.7,88.35,9916582.0
2020-06-08,88.9,89.5,88.8,89.8,15549542.0
2020-06-09,89.6,89.6,88.95,89.8,11356579.0
2020-06-10,89.65,90.45,89.55,90.7,10998897.0
2020-06-11,90.45,89.05,89.0,90.85,14179192.0
2020-06-12,87.25,88.25,87.1,88.5,21563371.0
2020-06-15,88.1,87.0,86.9,88.3,9573700.0
2020-06-16,88.15,88.9,88.15,89.2,10841047.0
2020-06-17,89.2,89.0,88.3,89.2,11510236.0
2020-06-18,89.05,88.9,88.35,89.3,5035751.0
2020-06-19,89.0,88.85,88.65,89.15,2333985.0
2020-06-22,88.85,89.05,88.85,89.7,10579456.0
2020-06-23,89.6,89.45,88.8,90.05,8664889.0
2020-06-24,89.8,90.0,89.8,90.5,10061904.0
2020-06-29,89.25,89.1,88.65,89.6,9785007.0
2020-06-30,89.55,89.9,89.4,89.95,8035137.0
2020-07-01,89.95,90.5,89.95,90.9,9979250.0
2020-07-02,90.65,91.5,90.6,91.5,7601474.0
2020-07-03,92.1,92.55,92.1,92.75,14983163.0
2020-07-06,93.2,94.15,93.2,94.3,14469339.0
2020-07-07,95.0,94.5,94.1,95.5,13927773.0
2020-07-08,94.5,95.15,94.4,95.4,11145368.0
2020-07-09,95.7,95.45,95.15,95.85,7241657.0
2020-07-10,95.55,94.65,94.6,95.7,11502554.0
2020-07-13,95.4,96.05,95.25,96.1,12054512.0
2020-07-14,95.8,96.65,95.7,96.65,13480664.0
2020-07-15,97.3,97.05,96.7,97.95,21315724.0
2020-07-16,97.0,96.1,95.85,97.0,7632129.0
2020-07-17,97.05,97.2,96.7,97.7,18010470.0
2020-07-20,97.2,97.05,96.25,97.35,9486407.0
2020-07-21,97.15,98.7,97.1,99.1,24740975.0
2020-07-22,98.55,98.95,98.35,99.25,7243893.0
2020-07-23,98.85,98.85,98.1,98.9,6008972.0
2020-07-24,99.0,98.5,98.25,100.1,17377622.0
2020-07-27,101.8,103.3,101.8,103.55,22874174.0
